sis_taxon_id,assessment_id,year_published
172321,1339869,2021
172361,1340322,2025
172404,1341100,2012
172419,1341910,2020
172440,1342450,2024
172447,1342518,2014
172474,1343392,2025
172495,1343500,2016
166263,1381686,2012
174486,1415160,2014
174487,1415800,2014
175067,1418500,2019
176049,1424934,2014
176050,1425064,2014
176051,1425381,2014
176053,1425490,2014
176054,1425583,2014
176055,1425673,2014
176058,1425759,2014
176060,1425846,2014
176063,1425933,2014
176064,1426025,2014
176065,1426141,2014
176066,1426277,2014
176067,1426409,2014
176068,1426511,2014
176069,1426638,2014
176070,1426753,2014
176072,1427046,2014
176073,1427166,2014
176074,1427293,2014
176075,1427414,2014
176076,1427565,2014
176077,1427672,2014
176079,1427875,2014
176081,1428027,2014
176082,1428135,2014
176083,1428242,2014
176084,1428363,2014
176085,1428473,2014
176086,1428612,2014
176087,1428710,2014
176088,1428801,2014
176718,1443749,2012
177578,1493691,2012
177949,1500072,2012
177950,1500256,2012
177951,1500716,2012
177952,1501131,2012
177953,1501275,2012
177954,1501681,2012
177955,1501829,2012
177956,1502318,2012
177957,1502445,2012
177958,1502745,2012
177959,1503075,2012
177960,1503262,2012
177961,1503615,2012
177962,1503835,2012
177963,1504075,2012
177964,1504292,2012
177965,1504553,2012
177966,1505213,2012
177967,1505359,2012
177968,1505905,2012
177969,1506081,2012
177970,1506556,2012
177971,1507181,2012
177972,1507676,2012
177973,1508182,2012
177974,1508352,2012
177975,1508588,2012
177976,1508812,2012
177977,1508957,2012
177978,1509145,2012
177979,1509470,2012
177980,1509761,2012
177981,1510126,2012
177982,1510626,2012
177983,1511074,2012
177984,1511423,2012
177985,1511595,2012
177986,1512001,2012
177987,1512212,2012
177988,1512439,2012
177989,1512937,2012
177990,1513480,2012
177991,1514102,2012
177992,1514533,2012
177993,1514809,2012
177994,1515329,2012
177995,1515633,2012
177997,1516035,2012
177998,1516342,2012
177999,1516566,2012
178000,1516737,2012
178001,1517043,2012
178002,1517273,2012
178003,1517869,2012
178004,1518077,2012
178005,1518420,2012
178006,1518945,2012
178007,1519102,2012
178008,1519287,2012
178009,1519810,2012
178010,1520055,2012
178011,1520517,2012
178012,1520757,2012
178013,1521341,2012
178014,1521640,2012
178015,1521949,2012
178016,1522202,2012
178017,1522347,2012
178018,1522865,2012
178019,1523035,2012
178020,1523627,2012
178021,1523812,2012
178022,1523952,2012
178023,1524335,2012
178024,1524628,2012
178025,1524949,2012
178063,1525715,2019
178065,1526216,2019
178889,1544018,2014
178890,1544170,2014
178891,1544283,2014
178892,1544399,2014
178893,1544631,2014
178894,1544745,2014
178896,1544915,2014
178897,1545028,2014
178898,1545158,2014
