query,syn_id,syn_name,valid_aphia_id,valid_sciname,error
274344,306051,Salmo pelet,274344,Coregonus peled,NA
274732,1578134,Sebastapistes pascuensis,274732,Scorpaena pascuensis,NA
275314,307441,Crenimugil heterocheilus,275314,Crenimugil heterocheilos,NA
275314,713432,Mugil banksi,275314,Crenimugil heterocheilos,NA
275314,303883,Mugil heterocheilos,275314,Crenimugil heterocheilos,NA
275314,402219,Mugil heterochilus,275314,Crenimugil heterocheilos,NA
275314,1019893,Mugil papillosus,275314,Crenimugil heterocheilos,NA
275921,1577936,Laeops mertensae,275921,Monolene mertensae,NA
275921,311443,Laeops mertensi,275921,Monolene mertensae,NA
275921,1621422,Monolene mertensi,275921,Monolene mertensae,NA
276342,324002,Synchiropus agassizi dagmarae,276342,Foetorepus dagmarae,NA
276342,302275,Synchiropus dagmarae,276342,Foetorepus dagmarae,NA
276978,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
277632,310955,Bathygobius orbicularis,277632,Bathygobius ostreicola,NA
277632,303241,Gobius ostreicola,277632,Bathygobius ostreicola,NA
277632,320033,Paragobiopsis orbicularis,277632,Bathygobius ostreicola,NA
277632,320034,Paragobiopsis ostreicola,277632,Bathygobius ostreicola,NA
277754,1593736,Parascolopsis rufomaculatus,277754,Parascolopsis rufomaculata,NA
277788,310753,Barbatogobius asanai,277788,Gobiopsis macrostoma,NA
277788,311035,Gobiopsis macrostomus,277788,Gobiopsis macrostoma,NA
277788,311037,Gobiopsis planifrons,277788,Gobiopsis macrostoma,NA
277788,303170,Gobius macrostoma,277788,Gobiopsis macrostoma,NA
277788,303269,Gobius planifrons,277788,Gobiopsis macrostoma,NA
277788,309788,Pogonogobius planifrons,277788,Gobiopsis macrostoma,NA
277828,1593903,Chiloscyllium burmensis,277828,Chiloscyllium burmense,NA
277830,311148,Chiloscyllium dolganovi,277830,Chiloscyllium hasseltii,NA
277830,311151,Chiloscyllium hasselti,277830,Chiloscyllium hasseltii,NA
277905,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
277906,312539,Acentrogobius madraspatensis,277906,Amoya madraspatensis,NA
277906,379002,Ctenogobius grammatogaster,277906,Amoya madraspatensis,NA
277906,303174,Gobius madraspatensis,277906,Amoya madraspatensis,NA
278509,1592751,Trimma omanensis,278509,Trimma omanense,NA
278549,318938,Loxopseudochromis dorypterus,278549,Owstonia dorypterus,NA
278549,1486862,Owstonia doryptera,278549,Owstonia dorypterus,NA
278628,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
278890,314024,Centropomus arabicus,278890,Cheilodipterus arabicus,NA
278890,209376,Cheilodipterus caninus,278890,Cheilodipterus arabicus,NA
278890,209375,Cheilodipterus lineatus,278890,Cheilodipterus arabicus,NA
278890,307295,Perca arabica,278890,Cheilodipterus arabicus,NA
278890,307326,Perca lineata,278890,Cheilodipterus arabicus,NA
279109,1593962,Stonogobiops xanthorhinica,279109,Stonogobiops xanthorhinicus,NA
279489,403315,Achiroides melanorhijnchus,279489,Achiroides melanorhynchus,NA
279489,403316,Achiroides melanorhinchus,279489,Achiroides melanorhynchus,NA
279489,403317,Achiroides melanorhynchos,279489,Achiroides melanorhynchus,NA
279489,317994,Eurypleura melanorhyncha,279489,Achiroides melanorhynchus,NA
279489,320314,Plagusia melanorhynchus,279489,Achiroides melanorhynchus,NA
279489,305873,Synaptura achira,279489,Achiroides melanorhynchus,NA
279489,305890,Synaptura melanorhyncha,279489,Achiroides melanorhynchus,NA
279587,308490,Arius rugispinis,279587,Amphiarius rugispinis,NA
279587,314015,Cathorops rugispinis,279587,Amphiarius rugispinis,NA
279587,314634,Hexanematichthys rugispinis,279587,Amphiarius rugispinis,NA
279587,344677,Notarius rugispinis,279587,Amphiarius rugispinis,NA
279587,311205,Tachysurus atroplumbeus,279587,Amphiarius rugispinis,NA
279638,1577706,Apagesoma delosommatus,279638,Apagesoma delosommatum,NA
279638,308538,Typhlonus delosommatus,279638,Apagesoma delosommatum,NA
279757,308488,Arius quadriscutis,279757,Aspistor quadriscutis,NA
279757,713067,Notarius quadriscutis,279757,Aspistor quadriscutis,NA
279959,305876,Synaptura annularis,279959,Brachirus annularis,NA
279959,1623045,Zebrias annularis,279959,Brachirus annularis,NA
280138,1621607,Cheimarrichthys fosteri,280138,Cheimarrichthys fosterae,NA
280374,1621426,Congriscus megastomus,280374,Congriscus megastoma,NA
280374,317346,Congromuraena megastoma,280374,Congriscus megastoma,NA
280374,282952,Thalassenchelys coheni,280374,Congriscus megastoma,NA
280546,402564,Dictiosoma burgeri,280546,Dictyosoma burgeri,NA
280546,314265,Dictyosoma temminckii,280546,Dictyosoma burgeri,NA
281026,310739,Gnatholepis mingi,281026,Hemigobius mingi,NA
281026,303191,Gobius melanurus,281026,Hemigobius mingi,NA
281026,314571,Hemigobius bleekeri,281026,Hemigobius mingi,NA
281026,314573,Hemigobius melanurus,281026,Hemigobius mingi,NA
281026,321602,Sphenentogobius vanderbilti,281026,Hemigobius mingi,NA
281026,312174,Stigmatogobius mingi,281026,Hemigobius mingi,NA
281157,1577683,Acentronura lumnitzeri,281157,Idiotropiscis lumnitzeri,NA
281170,1594930,Ilisha sirishai,281170,Ilisha sirishae,NA
281424,318649,Inu ama,281424,Luciogobius ama,NA
281429,318650,Inu koma,281429,Luciogobius koma,NA
281590,405410,Aptergia immaculata,281590,Monopterus albus,NA
281590,405412,Aptergia nigromaculata,281590,Monopterus albus,NA
281590,316381,Apterigia immaculata,281590,Monopterus albus,NA
281590,316382,Apterigia nigromaculata,281590,Monopterus albus,NA
281590,316383,Apterigia saccogularis,281590,Monopterus albus,NA
281590,318073,Fluta alba,281590,Monopterus albus,NA
281590,314528,Gymnotus albus,281590,Monopterus albus,NA
281590,405408,Monopterus alba,281590,Monopterus albus,NA
281590,314957,Monopterus cinereus,281590,Monopterus albus,NA
281590,314958,Monopterus helvolus,281590,Monopterus albus,NA
281590,314959,Monopterus javanensis,281590,Monopterus albus,NA
281590,314960,Monopterus laevis,281590,Monopterus albus,NA
281590,314961,Monopterus marmoratus,281590,Monopterus albus,NA
281590,314962,Monopterus xanthognathus,281590,Monopterus albus,NA
281590,299554,Muraena alba,281590,Monopterus albus,NA
281590,319753,Ophicardia phayriana,281590,Monopterus albus,NA
281590,405411,Ophicardia phyariana,281590,Monopterus albus,NA
281590,319754,Ophicardia xanthognatha,281590,Monopterus albus,NA
281590,320490,Pneumabranchus cinereus,281590,Monopterus albus,NA
281590,321713,Symbranchus grammicus,281590,Monopterus albus,NA
281590,405409,Synbranchus grammicus,281590,Monopterus albus,NA
281590,315734,Synbranchus xanthognathus,281590,Monopterus albus,NA
281590,322275,Unibranchapertura laevis,281590,Monopterus albus,NA
282084,304629,Anthias furcifer,282084,Paranthias furcifer,NA
282084,401367,Centropristes nebulosus,282084,Paranthias furcifer,NA
282084,309108,Centropristis nebulosus,282084,Paranthias furcifer,NA
282084,1577772,Cephalopholis furcifer,282084,Paranthias furcifer,NA
282084,317414,Corvina oxyptera,282084,Paranthias furcifer,NA
282084,304845,Serranus castelnaui,282084,Paranthias furcifer,NA
282084,304864,Serranus creolus,282084,Paranthias furcifer,NA
282084,304893,Serranus furcifer,282084,Paranthias furcifer,NA
282164,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
282267,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
282440,312406,Labrichthys mortonii,282440,Pseudolabrus rubicundus,NA
282440,312409,Labrichthys psittaculus,282440,Pseudolabrus rubicundus,NA
282440,312414,Labrichthys rubicunda,282440,Pseudolabrus rubicundus,NA
282440,303701,Labrus psittaculus,282440,Pseudolabrus rubicundus,NA
282440,315413,Pseudolabrus mortonii,282440,Pseudolabrus rubicundus,NA
282440,315419,Pseudolabrus psittaculus,282440,Pseudolabrus rubicundus,NA
282440,308649,Tautoga psittacula,282440,Pseudolabrus rubicundus,NA
282792,312703,Cheilodipterus panijus,282792,Sillaginopsis panijus,NA
282792,315632,Sillaginopsis domina,282792,Sillaginopsis panijus,NA
282792,1578150,Sillaginopsis punijas,282792,Sillaginopsis panijus,NA
282792,305096,Sillago domina,282792,Sillaginopsis panijus,NA
282792,305103,Sillago panijus,282792,Sillaginopsis panijus,NA
282792,401535,Sillago panjius,282792,Sillaginopsis panijus,NA
282882,NA,NA,NA,NA,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

"
283185,308622,Halichoeres macleayi,283185,Xenojulis margaritacea,NA
283185,320394,Platyglossus margaritaceus,283185,Xenojulis margaritacea,NA
283185,1621431,Xenojulis margaritaceus,283185,Xenojulis margaritacea,NA
283185,315936,Xenojulis montillai,283185,Xenojulis margaritacea,NA
293658,283187,Xenomugil thoburni,293658,Mugil thoburni,NA
298238,277101,Cephaloscyllium isabellum,298238,Cephaloscyllium isabella,NA
298238,712936,Cephaloscyllium sabella,298238,Cephaloscyllium isabella,NA
298238,307232,Scyllium lima,298238,Cephaloscyllium isabella,NA
298238,399553,Scyllium sabella,298238,Cephaloscyllium isabella,NA
298238,299164,Squalus isabella,298238,Cephaloscyllium isabella,NA
298238,299165,Squalus isabella,298238,Cephaloscyllium isabella,NA
299709,318586,Hyoprorus messanensis,299709,Nettastoma melanura,NA
299709,400002,Hyoprorus messinensis,299709,Nettastoma melanura,NA
299709,314797,Leptocephalus longirostris,299709,Nettastoma melanura,NA
299709,314828,Leptocephalus urosema,299709,Nettastoma melanura,NA
299709,1577967,Mettastoma melanurum,299709,Nettastoma melanura,NA
299709,299669,Muraena saga,299709,Nettastoma melanura,NA
299709,319469,Muraenophis saga,299709,Nettastoma melanura,NA
299709,319475,Muraenosaurus guentheri,299709,Nettastoma melanura,NA
299709,400003,Muraenosaurus güntheri,299709,Nettastoma melanura,NA
299709,319484,Murenophis saga,299709,Nettastoma melanura,NA
299709,1577995,Nettastoma melanorum,299709,Nettastoma melanura,NA
299709,126308,Nettastoma melanurum,299709,Nettastoma melanura,NA
299709,299710,Nettastoma mendax,299709,Nettastoma melanura,NA
299709,299713,Nettastoma saga,299709,Nettastoma melanura,NA
299709,319869,Osorina guentheri,299709,Nettastoma melanura,NA
301526,275866,Nannobrachium isaacsi,301526,Lampanyctus isaacsi,NA
302950,402775,Acentrogobius bonti,302950,Gobius bontii,NA
302950,219362,Acentrogobius bontii,302950,Gobius bontii,NA
302950,311469,Drombus bontii,302950,Gobius bontii,NA
303762,317881,Equula caballa,303762,Leiognathus equula,NA
303762,317889,Equula edentula,303762,Leiognathus equula,NA
303762,317891,Equula ensifera,303762,Leiognathus equula,NA
