iucn_sciname,worms_valid_sciname,sis_taxon_id,iucn_assessment_id,aphia_id,aquax,notes
conasprella centurio,conasprella centurio,192831,2169919,835892,SDM,NA
conus sydneyensis,conus sydneyensis,192832,2170136,428378,SDM,NA
conus scalptus,conus scalptus,192834,2170390,428350,SDM,NA
conus fulmen,conus fulmen,192835,2170510,428129,SDM,NA
conus eversoni,conus eversoni,192836,2170627,426491,SDM,NA
conus archon,conus archon,192837,2170758,426359,SDM,NA
conus timorensis,conus timorensis,192838,2170941,215493,SDM,NA
conus tiaratus,conus tiaratus,192839,2171069,428388,SDM,NA
conus ignotus,conus ignotus,192840,2171235,429639,SDM,NA
conus legatus,conus legatus,192843,2171580,215438,SDM,NA
conus lividus,conus lividus,192844,2172151,215541,SDM,NA
conus guanche,conus guanche,192845,2172732,181090,SDM,NA
conus consors,conus consors,192847,2172967,426462,SDM,NA
conus adamsonii,conus adamsonii,192848,2173431,426289,No SDM,NA
conus balteatus,conus balteatus,192849,2173661,215490,SDM,NA
profundiconus pacificus,profundiconus pacificus,192850,2174203,746716,SDM,NA
conus gabelishi,conus gabelishi,192851,2174312,428131,SDM,NA
conus ardisiaceus,conus ardisiaceus,192852,2174430,426361,SDM,NA
conus virgo,conus virgo,192853,2174590,215569,SDM,NA
conus jourdani,conus jourdani,192854,2174901,428164,SDM,NA
conus honkeri,conus honkeri,192856,2175075,428152,SDM,NA
conus paulae,conus paulae,192857,2175216,428235,SDM,NA
conus fuscoflavus,conus fuscoflavus,192858,2175321,224879,No SDM,NA
conus zapatosensis,conus zapatosensis,192860,2175581,428415,SDM,NA
conasprella elegans,conasprella elegans,192861,2175689,835364,SDM,NA
conus gondwanensis,conus gondwanensis,192862,2175887,428138,SDM,NA
pseudolilliconus korni,pseudolilliconus korni,192863,2175998,581132,SDM,NA
conus zeylanicus,conus zeylanicus,192864,2176160,215502,SDM,NA
conus luciae,conus luciae,192867,2176689,428193,SDM,NA
conus regius,conus regius,192869,2176993,420220,SDM,NA
conus arenatus,conus arenatus,192870,2177248,215482,SDM,NA
conus cardinalis,conus cardinalis,192871,2177911,426444,SDM,NA
conus pictus,conus pictus,192872,2178107,428241,SDM,NA
conus voluminalis,conus voluminalis,192873,2178267,428408,SDM,NA
conus nux,conus nux,192874,2178437,428223,SDM,NA
conasprella wakayamaensis,conasprella wakayamaensis,192875,2178654,580172,SDM,NA
conus franciscoi,conus franciscoi,192877,2178879,428128,SDM,NA
conus pertusus,conus pertusus,192879,2179161,215454,SDM,NA
gobiomorus polylepis,gobiomorus polylepis,192928,2179946,280898,No SDM,NA
diapterus rhombeus,diapterus rhombeus,192930,2179953,276415,SDM,NA
eucinostomus harengulus,eucinostomus harengulus,192932,2180023,276420,SDM,NA
lutjanus griseus,lutjanus griseus,192941,2180367,159797,SDM,NA
joturus pichardi,joturus pichardi,192944,2180514,281205,No SDM,NA
awaous guamensis,awaous guamensis,192948,2180615,277421,No SDM,NA
mahidolia mystacina,mahidolia mystacina,192982,2180744,219512,SDM,NA
valenciennea limicola,valenciennea limicola,192984,2180990,277031,No SDM,NA
trimma okinawae,trimma okinawae,192986,2181127,278508,SDM,NA
eviota bifasciata,eviota bifasciata,192987,2181260,278581,SDM,NA
eviota nigriventris,eviota nigriventris,192988,2181355,219457,SDM,NA
valenciennea immaculata,valenciennea immaculata,192989,2181480,277030,SDM,NA
amblyeleotris rubrimarginata,amblyeleotris rubrimarginata,192990,2181624,278982,SDM,NA
valenciennea sexguttata,valenciennea sexguttata,192991,2181720,219598,SDM,NA
eviota pseudostigma,eviota pseudostigma,192992,2182001,278602,No SDM,NA
tryssogobius nigrolineatus,tryssogobius nigrolineatus,192993,2182092,390108,No SDM,NA
cryptocentrus cinctus,cryptocentrus cinctus,192995,2182274,278326,SDM,NA
bryaninops loki,bryaninops loki,192996,2182424,278861,SDM,NA
eviota pellucida,eviota pellucida,192997,2182490,278600,SDM,NA
bryaninops erythrops,bryaninops erythrops,192998,2182621,219390,SDM,NA
asterropteryx ensifera,asterropteryx ensifera,193000,2182841,277496,SDM,NA
callogobius okinawae,callogobius okinawae,193001,2182998,278883,SDM,NA
ctenogobiops aurocingulus,ctenogobiops aurocingulus,193002,2183125,278350,SDM,NA
cryptocentrus caeruleomaculatus,cryptocentrus caeruleomaculatus,193003,2183288,278323,SDM,NA
oxyurichthys heisei,oxyurichthys heisei,193004,2183439,273458,No SDM,NA
vanderhorstia steelei,vanderhorstia steelei,193006,2183627,398676,No SDM,NA
istigobius decoratus,istigobius decoratus,193007,2183717,219504,SDM,NA
