sciname,aphia_id
Channa asiatica,1018804
Parapercis nebulosa,219154
Chaetodon auriga,218730
Polycheles typhlops,107696
Schizothorax plagiostomus,1022183
Mastacembelus armatus,281527
Poecilia sphenops,275351
Luidia sarsii,123922
Pimelodina flavipinnis,1019756
Rhynchobatus immaculatus,835233
Robustosergia robusta,1056517
Opisthoteuthis calypso,NA
Laminaria ochroleuca,145728
Hoplobrotula armata,277593
Macrobrachium assamense,587105
Sargassum obtusifolium,495309
Thoracocharax stellatus,1419701
Carcharias taurus,105843
Maurolicus muelleri,127312
Channa micropeltes,743381
Oreochromis aureus,279196
Chelidonichthys cuculus,127259
Aliger gigas,1429769
Scyliorhinus stellaris,105815
Coregonus clupeaformis,158726
Paralabrax humeralis,282056
Drepane africana,277898
Parophrys vetulus,254393
Magallana gigas,836033
Xanthichthys caeruleolineatus,219898
Branta leucopsis,159177
Astrothorax waitei,214611
Galeopsis bullatus,173411
Catharacta maccormicki,NA
Acanthocepola abbreviata,278762
Ageneiosus ucayalensis,1017606
Ameiurus serracanthus,1013317
Antigonia capros,127418
Argyrosomus thorpei,218629
Atropus atropos,279823
Opsarius bakeri,1605364
Belonophago hutsebouti,1015937
Breviraja spinosa,158547
Calloplesiops altivelis,218340
Caulophryne jordani,126534
Champsocephalus esox,234719
Chlorophthalmus acutifrons,272050
Clinus acuminatus,219199
Coryphaenoides macrolophus,272337
Cyclopsetta querna,275703
Dannevigia tusca,280485
Diplectrum macropoma,276181
Elates ransonnettii,398454
Hyporthodus septemfasciatus,475102
Eustomias obscurus,127347
Gastrocyathus gracilis,280817
Gonialosa modesta,1020658
Hadropogonichthys lindbergi,280972
Garra kemali,1525643
Hippichthys cyanospilos,218017
Hyporhamphus gilli,272181
Johnius trachycephalus,276124
Lactoria cornuta,219904
Lepidozygus tapeinosoma,212793
Liparis montagui,127220
Lycodonus flagellicauda,127119
Melanotaenia affinis,1526121
Monocirrhus polyacanthus,1016832
Naevochromis chrysogaster,1015431
Neoeucirrhichthys maydelli,1011807
Notropis heterodon,1420801
Opisthopterus tardoore,281923
Pachyurus bonariensis,1013991
Misgurnus dabryanus,NA
Pegasus volitans,218163
Phoxocampus belcheri,218031
Pleurogrammus monopterygius,282289
Potamotrygon scobina,1017360
Pseudocaranx wrighti,273282
Pterycombus brama,126785
Okamejei pita,NA
Acroteriobatus salalah,1043598
Salmo fibreni,1011410
Scopelarchus analis,126367
Serranus subligarius,159236
Spectrolebias semiocellatus,1384099
Stichaeopsis nana,282888
Synodus saurus,126372
Thysanichthys crossotus,282974
Trachyrhamphus bicoarctatus,218045
Atropus aurochs,1803661
Wertheimeria maculata,1020177
Schedophilus velaini,219742
Callinectes bellicosus,442767
Projasus parkeri,246440
Exhippolysmata ensirostris,220260
Heterocarpus gibbosus,210449
Daphnia similis,NA
Metapenaeopsis kishinouyei,377497
Glyphocrangon vicaria,515722
Octopus tetricus,342036
Alloteuthis media,153134
Lamarcka avellana,1548265
Tagelus dombeii,507364
Donax trunculus,139602
Fragum unedo,381510
Siliqua radiata,413615
Pitar citrinus,507842
Euspira fusca,140529
Lunella cinerea,413413
Chicoreus ramosus,558787
Purpura bufo,208642
Boreochiton ruber,386411
Condylactis aurantiaca,100822
Ciona intestinalis,103732
Hypnea charoides,220806
Pterygotrigla picta,277049
Caranx bartholomaei,302312
Cephalopholis aurantia,218177
Pogonophryne macropogon,234756
Henicorhynchus siamensis,1014537
Plagusia depressa,107459
Argyropelecus gigas,127308
Myrichthys pardalis,275488
Chaetodon gardineri,273340
Parablennius goreensis,273129
Brycon insignis,1020168
Parapercis robinsoni,219156
Chaetodon lunula,218733
Emerita austroafricana,210318
Salmo letnica,1016491
Mastacembelus favus,1016504
Semibalanus balanoides,106210
Ciona edwardsi,103728
Pterygoplichthys multiradiatus,1022731
Rhynchobatus laevis,278218
Oplophorus spinosus,107602
Securiflustra securifrons,111374
Ecklonia radiata,214344
Lepophidium microlepis,275622
Cambarellus (Cambarellus) patzcuarensis,885124
Zonaria tournefortii,145397
Acestrorhynchus pantaneiro,1008679
Alopias vulpinus,105836
Heterotis niloticus,581703
Monopterus albus,281590
Oreochromis spilurus,293645
Pleurogrammus azonus,282288
Anadara broughtonii,504357
Carcharhinus plumbeus,105797
Esox lucius,154210
Bidyanus bidyanus,1019959
Oreochromis niloticus,293639
Atheresthes stomias,279792
Crassostrea rhizophorae,420777
Benthosema pterotum,217680
Bucephala clangula,159197
Bathypectinura heros,124814
Caberea darwinii,173077
Sterna vittata,225766
Acanthochaenus luetkenii,127280
Ageneiosus militaris,1013570
Amia calva,157877
Antigonia malayana,275292
Arhynchobatis asperrimus,279690
Atrosalarias fuscus,293549
Barilius barila,1026471
Belontia hasselti,1022646
Brevoortia smithi,158690
Callorhinchus callorynchus,278468
Cebidichthys violaceus,280053
Champsochromis caeruleus,1015841
Chloroscombrus orqueta,276245
Clupeichthys aesarnensis,1012164
Coryphaenoides marginatus,272338
Eumicrotremus lindbergi,1803735
Daruma sagamia,280486
Diplectrum maximum,276182
Elattarchus archidium,280633
Epinephelus sexfasciatus,273867
Eustomias tetranema,127350
Gastrocymba quadriradiata,280818
Gonichthys barnesi,217698
Haemomaster venezuelae,1016131
Nannocharax angolensis,1013393
Hippocampus fuscus,NA
Hyporhamphus ihi,272182
Johnrandallia nigrirostris,281202
Ladigesia roloffi,1012567
Pachyurus francisci,1418099
Liparis tunicatus,154825
Lycogrammoides schmidti,281448
Melapedalion breve,281548
Monodactylus argenteus,218695
Nagaichthys filipes,1383999
Neogastromyzon nieuwenhuisii,1018497
Notropis heterolepis,1017934
Opistognathus aurifrons,276442
Padogobius bonelli,1021172
Paramonacanthus frenatus,278922
Pelagocephalus marki,219958
Phractocephalus hemioliopterus,1026980
Liopsetta glacialis,275844
Potamotrygon yepezi,1007750
Pseudocarcharias kamoharai,217632
Pterygoplichthys ambrosettii,1018710
Dentiraja polyommata,1017854
Rhinobatos schlegelii,213640
Salmo ischchan,1019744
Scopelengys tristis,126636
Serrasalmus brandtii,1020356
Spectrunculus grandis,126678
Dinogunellus grigorjewi,NA
Synodus variegatus,217670
Sunagocia arenicola,712556
Trachyrincus helolepis,272445
Atropus mentalis,1803659
Wetmorella albofasciata,219069
Psenes cyanophrys,159427
Euphylax dovii,442743
Puerulus sewelli,220234
Exhippolysmata hastatoides,240875
Heterocarpus laevigatus,107646
Daphnia cephalata,NA
Metapenaeopsis mineri,377509
Panulirus femoristriga,382894
Octopus variabilis,NA
Loligo vulgaris,140271
Lamarcka imbricata,1548267
Tagelus plebeius,157001
Donax vittatus,139604
Corculum cardissa,216387
Solen cylindraceus,413346
Pitar pellucidus,507843
Euspira guilleminii,140531
Lunella coronata,216363
Chicoreus torrefactus,208137
Menathais tuberosa,714205
Callistochiton portobelensis,386137
Calliactis parasitica,100946
Microcosmus polymorphus,103842
Hypnea chordacea,220810
Chelidonichthys obscurus,127263
Eleutheronema rhadinum,280638
Cephalopholis igarashiensis,279149
Chromobotia macracanthus,1021712
Labiobarbus fasciatus,1018594
Pollicipes elegans,535328
Argyropelecus hemigymnus,127309
Callechelys guineensis,275468
Chaetodon melapterus,218751
Parablennius incognitus,126771
Hoplias lacerdae,1018027
Parascolopsis baranesi,277748
Cephalopholis leopardus,218185
Hippa ovalis,241284
Salmo ohridanus,1019537
Epinephelus quinquefasciatus,304761
Taurulus bubalis,127204
Ciona fascicularis,103729
Pterygoplichthys undecimalis,1423148
Rhynchobatus palpebratus,398283
Crangon allmanni,107551
Flustra foliacea,111367
Fucus distichus,145544
Otophidium indefatigabile,275633
Ovalipes catharus,442757
Actinopyga cf. flammea,NA
Roeboides myersii,1017175
Alopias pelagicus,220019
Lampanyctodes hectoris,217704
Centropomus undecimalis,280068
Oreochromis macrochir,298252
Platycephalus indicus,127234
Pinctada margaritifera,207899
Carcharhinus limbatus,105793
Esox reichertii,298218
Morone chrysops x M. saxatilis,NA
Oreochromis andersonii,279194
Atheresthes evermanni,279791
Pecten maximus,140712
Platycephalus richardsoni,274663
Clangula hyemalis,137071
Pseudechinus flemingi,414218
Malakosaria sinclairii,471909
Ardenna carneipes,NA
Acanthochromis polyacanthus,279469
Ageneiosus valenciennesi,NA
Ammocrypta clara,1019836
Antipodocottus elegans,279634
Ariomma bondi,159592
Atule mate,218384
Opsarius barna,1026473
Bembradium roseum,279893
Brienomyrus brachyistius,279990
Callorhinchus milii,278469
Centracanthus cirrus,126827
Champsodon snyderi,278647
Chlorurus gibbus,219088
Clupeocharax schoutedeni,1016246
Coryphaenoides mexicanus,272340
Cyclothone acclinidens,127282
Dascyllus albisella,278448
Diplectrum pacificum,276183
Electrona antarctica,217697
Epinephelus stictus,273869
Eutaeniichthys gilli,280758
Gastromyzon borneensis,1020372
Gonioplectrus hispanus,280924
Haemulon album,275721
Aphyocypris lini,1013439
Hippocampus hippocampus,127380
Hyporhamphus roberti,293617
Johnsonina eriomma,281203
Ladigesocypris ghigii,NA
Pachyurus schomburgkii,281966
Lipariscus nanus,281365
Lyconema barbatum,281449
Melichthys indicus,219882
Monognathus ahlstromi,274325
Nalbantichthys elongatus,281630
Neoglyphidodon bonang,278810
Notropis hudsonius,567537
Oplegnathus fasciatus,277892
Pagetopsis macropterus,234707
Paramormyrops jacksoni,1013390
Pelates quadrilineatus,127077
Phractolaemus ansorgii,1016389
Paralichthys orbignyanus,275817
Praealticus natalis,282335
Owstonia taeniosoma,1486850
Ptilichthys goodei,282508
Raja polystigma,105888
Glaucostegus thouin,712954
Salmo marmoratus,1019650
Scopeloberyx microlepis,274941
Serrasalmus elongatus,1014175
Speleogobius trigloides,126936
Stigmatochromis modestus,1019407
Puntius brevis,1012605
Thysochromis ansorgii,1014959
Trachyrincus scabrus,126482
Ulvaria subbifurcata,159821
Wheelerigobius maltzani,283162
Microchirus azevia,274299
Euphylax robustus,442744
Puerulus angulatus,241308
Heptacarpus brevirostris,515244
Heterocarpus sibogae,210444
Daphnia carinata,NA
Parapenaeopsis balli,377549
Nupalirus chani,382883
Octopus zonatus,342049
Uroteuthis (Photololigo) duvaucelii,NA
Arca noae,138788
Spondylus americanus,420772
Galatea paradoxa,494749
Maoricardium pseudolatum,382149
Solen gordonis,413500
Sunetta menstrualis,507899
Notocochlis dillwynii,720578
Turbo crassus,534211
Indothais lacera,714477
Vexilla vexillum,215762
Stenoplax boogii,848093
Rhopilema esculentum,287187
Styela plicata,103936
Hypnea cornuta,145630
Paralomis anamerae,394056
Filimanus hexanema,280781
Cephalopholis spiloparaea,218180
Mastacembelus erythrotaenia,1021164
Labiobarbus ocellatus,1021717
Pollicipes polymerus,535329
Argyropelecus sladeni,158837
Callechelys leucoptera,275469
Chaetodon nigropunctatus,273350
Parablennius parvicornis,126772
Pterygoplichthys pardalis,1021550
Parascolopsis eriomma,214690
Calotomus spinidens,219075
Acanthephyra eximia,564909
Parachanna obscura,743374
Alphestes immaculatus,279568
Vertebrata lanosa,475211
Ciona gelatinosa,103730
Spatuloricaria gymnogaster,1017590
Rhynchobatus springeri,712388
Pontophilus norvegicus,107563
Alcyonidium diaphanum,111597
Halidrys siliquosa,145540
Poromitra atlantica,474943
Trapezia rufopunctata,210187
Actinopyga varians,529344
Oligosarcus jenynsii,1344527
Isurus oxyrinchus,105839
Gymnoscopelus nicholsi,234821
Lates niloticus,218165
Oreochromis urolepis,293646
Normanichthys crockeri,281762
Pinctada fucata,397170
Carcharhinus acronotus,158508
Arapaima gigas,1042347
Morone americana,151177
Parachromis managuensis,1020811
Glyptocephalus cynoglossus,127136
Pecten jacobaeus,394429
Ammodytes tobianus,126752
Cygnus cygnus,159089
Spatangus multispinus,414253
Arachnopusia inchoata,172913
Pygoscelis papua,225777
Acanthocleithron chapini,1383179
Ageneiosus vittatus,1018032
Ammocrypta pellucida,1049455
Anyperodon leucogrammicus,212549
Ariopsis assimilis,308392
Atypichthys latus,279826
Opsarius bendelisis,1534288
Bembras japonica,279895
Corydoras britskii,1012187
Calophysus macropterus,1022689
Centrarchops atlanticus,1495530
Chanda nama,277036
Chlorurus sordidus,219082
