assessment_id,group,sis_taxon_id,sciname,redlist_version,redlist_category,assessed_year,scope
167851221,birds,61769583,Megascops vermiculatus,3.1,LC,2025,Global
281019849,birds,22688840,Megascops petersoni,3.1,LC,2025,Global
152663677,birds,22707794,Prionops gabela,3.1,EN,2025,Global
266232051,birds,103767667,Larvivora komadori,3.1,NT,2025,Global
269492253,birds,22714874,Acrocephalus rodericanus,3.1,LC,2025,Global
269492673,birds,22719159,Foudia flavicans,3.1,LC,2025,Global
277506164,birds,22682577,Bycanistes subcylindricus,3.1,LC,2025,Global
277507694,birds,22725946,Horizocerus albocristatus,3.1,LC,2025,Global
281025176,birds,22688790,Megascops roboratus,3.1,LC,2025,Global
118628228,birds,22734593,Fulvetta danisi,3.1,LC,2025,Global
133505223,birds,22696782,Phalacrocorax varius,3.1,LC,2025,Global
136662294,birds,22724311,Quiscalus major,3.1,LC,2025,Global
136670222,birds,22724169,Xanthocephalus xanthocephalus,3.1,LC,2025,Global
136685900,birds,22723948,Passerina amoena,3.1,LC,2025,Global
136691938,birds,22723816,Pheucticus melanocephalus,3.1,LC,2025,Global
136746642,birds,22724131,Icterus cucullatus,3.1,LC,2025,Global
136762026,birds,22729123,Icterus bullockiorum,3.1,LC,2025,Global
136769578,birds,22723796,Spiza americana,3.1,LC,2025,Global
136807094,birds,22722471,Piranga ludoviciana,3.1,LC,2025,Global
136809279,birds,22722466,Piranga olivacea,3.1,LC,2025,Global
136812093,birds,22722456,Piranga rubra,3.1,LC,2025,Global
137041478,birds,105963139,Sporophila nigricollis,3.1,LC,2025,Global
137359271,birds,22721043,Plectrophenax nivalis,3.1,LC,2025,Global
137393857,birds,22720413,Spinus lawrencei,3.1,LC,2025,Global
137396940,birds,22720359,Spinus pinus,3.1,LC,2025,Global
137397791,birds,22728944,Loxia leucoptera,3.1,LC,2025,Global
137402331,birds,22720553,Haemorhous purpureus,3.1,LC,2025,Global
137421099,birds,22718270,Passer montanus,3.1,LC,2025,Global
137423643,birds,22719821,Lonchura punctulata,3.1,LC,2025,Global
137492530,birds,22710921,Acridotheres tristis,3.1,LC,2025,Global
137500711,birds,22711096,Oreoscoptes montanus,3.1,LC,2025,Global
137501356,birds,22711127,Toxostoma crissale,3.1,LC,2025,Global
137501996,birds,22711124,Toxostoma redivivum,3.1,LC,2025,Global
137504142,birds,22711102,Toxostoma longirostre,3.1,LC,2025,Global
137505393,birds,22711099,Toxostoma rufum,3.1,LC,2025,Global
137508094,birds,22711013,Dumetella carolinensis,3.1,LC,2025,Global
137574649,birds,103845882,Phylloscopus borealis,3.1,LC,2025,Global
137580977,birds,103889800,Henicorhina leucophrys,3.1,LC,2025,Global
137616913,birds,103886826,Troglodytes aedon,3.1,LC,2025,Global
137632069,birds,22711170,Sitta pygmaea,3.1,LC,2025,Global
137632749,birds,22711202,Sitta carolinensis,3.1,LC,2025,Global
137635417,birds,22711989,Baeolophus atricristatus,3.1,LC,2025,Global
137636021,birds,22711983,Baeolophus bicolor,3.1,LC,2025,Global
137636584,birds,22729143,Baeolophus ridgwayi,3.1,LC,2025,Global
137661756,birds,22711969,Baeolophus wollweberi,3.1,LC,2025,Global
137662738,birds,22711759,Poecile hudsonicus,3.1,LC,2025,Global
137663188,birds,22711767,Poecile rufescens,3.1,LC,2025,Global
137665711,birds,22711724,Poecile gambeli,3.1,LC,2025,Global
137666504,birds,22711716,Poecile atricapillus,3.1,LC,2025,Global
137667085,birds,22711708,Poecile carolinensis,3.1,LC,2025,Global
137674232,birds,22712427,Petrochelidon pyrrhonota,3.1,LC,2025,Global
137684127,birds,22712077,Tachycineta thalassina,3.1,LC,2025,Global
137687319,birds,22712057,Tachycineta bicolor,3.1,LC,2025,Global
137698477,birds,22706055,Corvus cryptoleucus,3.1,LC,2025,Global
137723028,birds,22705993,Corvus ossifragus,3.1,LC,2025,Global
137730336,birds,103727176,Pica hudsonia,3.1,LC,2025,Global
137733480,birds,22724967,Aphelocoma wollweberi,3.1,LC,2025,Global
137739324,birds,22705611,Cyanocitta cristata,3.1,LC,2025,Global
137743485,birds,22705614,Cyanocitta stelleri,3.1,LC,2025,Global
137748779,birds,22705738,Cyanocorax yncas,3.1,LC,2025,Global
137809551,birds,22700997,Ceratopipra erythrocephala,3.1,LC,2025,Global
137831352,birds,22701071,Chiroxiphia linearis,3.1,LC,2025,Global
137873899,birds,22700647,Pachyramphus polychopterus,3.1,LC,2025,Global
137913446,birds,22700503,Tyrannus savana,3.1,LC,2025,Global
137946818,birds,22700436,Myiarchus tyrannulus,3.1,LC,2025,Global
138112086,birds,22699230,Myiopagis gaimardii,3.1,LC,2025,Global
138333788,birds,22732035,Molothrus aeneus,3.1,LC,2025,Global
138345225,birds,103793298,Icterus spurius,3.1,LC,2025,Global
138354834,birds,103792619,Cacicus microrhynchus,3.1,LC,2025,Global
