group,sis_taxon_id,assessment_id,year_published
birds,103683886,168381781,2025
birds,22682961,260131149,2025
birds,22691991,265043348,2025
birds,22725914,276137160,2025
birds,22679866,280985164,2025
birds,103669772,280986001,2025
birds,103681055,280987140,2025
birds,22699824,280987561,2025
birds,22701869,280987761,2025
birds,22724941,280990447,2025
birds,22692174,280990607,2025
birds,22681411,280990999,2025
birds,22678342,280992450,2025
birds,22687488,280992932,2025
birds,22686965,280993582,2025
birds,22679833,280996379,2025
birds,22686985,280997559,2025
birds,22686467,280998121,2025
birds,22689720,280998906,2025
birds,22698933,280999134,2025
birds,22692278,280999349,2025
birds,22700971,280999592,2025
birds,22699427,281000643,2025
birds,103670881,281002442,2025
birds,22731723,281002872,2025
birds,103670471,281005566,2025
birds,22698863,281006338,2025
birds,22701922,281006742,2025
birds,45422133,281008692,2025
birds,103670955,281009468,2025
birds,22701460,281009633,2025
birds,103676093,281010059,2025
birds,22702471,281010421,2025
birds,103841965,281010660,2025
birds,22682164,281011279,2025
birds,22726706,281011535,2025
birds,22733874,281011736,2025
birds,103670045,281013032,2025
birds,22693921,281013435,2025
birds,22689353,281015958,2025
birds,61958763,281019645,2025
birds,22685682,281020219,2025
birds,22686198,281020923,2025
birds,22692848,281022017,2025
birds,22700520,281022651,2025
birds,103657300,281023490,2025
birds,22685707,281025579,2025
birds,22735551,281026737,2025
birds,22701226,281028521,2025
birds,22731980,281031565,2025
birds,103677312,281031771,2025
birds,22682319,281031954,2025
birds,22700228,281032120,2025
birds,22701689,281032953,2025
birds,22733946,281033298,2025
birds,22701169,281033698,2025
birds,103670750,281034890,2025
birds,22695017,281035088,2025
birds,22685793,281036496,2025
birds,22697574,281037780,2025
birds,61634607,281038220,2025
birds,22697624,281039099,2025
birds,103693756,281039827,2025
birds,22696977,154698211,2025
birds,22679147,177694929,2025
birds,61612971,276827066,2025
birds,279198786,279199313,2025
birds,45090459,281387508,2025
birds,103867212,269259313,2025
birds,22708016,275905172,2025
birds,45090397,276887920,2025
birds,22692581,277461466,2025
birds,22711184,280502049,2025
birds,22681353,281321118,2025
birds,22679746,136882742,2025
birds,22708146,137483083,2025
birds,22711750,137662096,2025
birds,22735985,153826599,2025
birds,22694764,154303423,2025
birds,22679435,154429562,2025
birds,22690708,154432791,2025
birds,22705983,154484620,2025
birds,22680391,154567456,2025
birds,22697242,154679619,2025
birds,103726922,154687741,2025
birds,103888874,157394300,2025
birds,22693983,157424014,2025
birds,22686661,169949239,2025
birds,22696048,203686356,2025
birds,22690122,206819404,2025
birds,22682541,207290329,2025
birds,22696138,210367526,2025
birds,22695283,263627202,2025
birds,22728089,263999507,2025
birds,22681609,264026441,2025
birds,22732599,264067056,2025
birds,22725431,264067239,2025
birds,22727521,264105342,2025
birds,103656924,264130857,2025
birds,22710559,264175836,2025
birds,103819928,264178372,2025
birds,22712509,264196508,2025
birds,103889885,264200946,2025
birds,22714151,264206422,2025
birds,103818359,264218809,2025
birds,103891241,264234022,2025
birds,103762543,264253239,2025
birds,22717813,264296814,2025
birds,22704180,264320999,2025
birds,22707291,264325843,2025
birds,103804289,264361371,2025
birds,103804263,264366383,2025
birds,103702598,264373150,2025
birds,22703657,264393217,2025
birds,103691606,264401869,2025
birds,103691629,264408973,2025
birds,103691647,264411873,2025
birds,22693090,269809673,2025
birds,22727481,280894502,2025
birds,22727487,280894711,2025
birds,22713152,280895942,2025
birds,103894037,280896140,2025
birds,103819799,280896314,2025
birds,22678835,280896525,2025
birds,22708020,280896777,2025
birds,103721987,280896956,2025
birds,22710072,280897203,2025
birds,22685493,280897505,2025
birds,22707510,280897674,2025
birds,22695721,280897880,2025
birds,22729514,280898107,2025
birds,22725423,280898528,2025
birds,22706479,280898762,2025
birds,22731056,280898924,2025
birds,103834630,280899162,2025
birds,103686165,280899346,2025
birds,103803926,280899506,2025
birds,22680354,280899733,2025
birds,22686498,280900165,2025
birds,22682920,280900348,2025
birds,22689061,280900807,2025
birds,22717785,280901063,2025
birds,22682975,280901247,2025
birds,22735197,280901445,2025
birds,22689630,280901655,2025
birds,22703966,280901833,2025
birds,22713176,280902018,2025
birds,22735192,280902177,2025
birds,22713173,280902367,2025
birds,103818240,280902558,2025
birds,22718294,280902752,2025
birds,22682955,280903057,2025
birds,103686144,280903242,2025
birds,22685001,280903395,2025
birds,103872996,280903572,2025
birds,103880163,280904030,2025
birds,103804411,280904234,2025
